country,province
Argentina,Mendoza Province
Argentina,Other
Australia,Australia Other
Australia,New South Wales
Australia,South Australia
Australia,Tasmania
Australia,Victoria
Australia,Western Australia
Austria,Austria
Austria,Burgenland
Austria,Carnuntum
Austria,Kamptal
Austria,Kremstal
Austria,Leithaberg
Austria,Mittelburgenland
Austria,Niederösterreich
Austria,Steiermark
Austria,Südburgenland
Austria,Südoststeiermark
Austria,Südsteiermark
Austria,Thermenregion
Austria,Traisental
Austria,Vienna
Austria,Wachau
Austria,Wagram
Austria,Wagram-Donauland
Austria,Weinland Österreich
Austria,Weinviertel
Austria,Wiener Gemischter Satz
Austria,Österreichischer Perlwein
Austria,Österreichischer Sekt
Brazil,Brazil
Brazil,Campanha
Brazil,Pinto Bandeira
Brazil,Serra Gaúcha
Brazil,Serra do Sudeste
Brazil,Vale Trentino
Brazil,Vale dos Vinhedos
Bulgaria,Black Sea Coastal
Bulgaria,Bulgaria
Bulgaria,Danube River Plains
Bulgaria,Thracian Valley
Canada,British Columbia
Canada,Ontario
Chile,Aconcagua Costa
Chile,Aconcagua Valley
Chile,Apalta
Chile,Buin
Chile,Bío Bío Valley
Chile,Cachapoal Valley
Chile,Casablanca & Leyda Valleys
Chile,Casablanca Valley
Chile,Casablanca-Curicó Valley
Chile,Cauquenes Valley
Chile,Central Valley
Chile,Chile
Chile,Coelemu
Chile,Colchagua Costa
Chile,Colchagua Valley
Chile,Curicó Valley
Chile,Curicó and Leyda Valleys
Chile,Curicó and Maipo Valleys
Chile,Elqui Valley
Chile,Itata Valley
Chile,Leyda Valley
Chile,Leyda Valley-Maipo Valley
Chile,Limarí Valley
Chile,Lolol Valley
Chile,Loncomilla Valley
Chile,Lontué Valley
Chile,Maipo Valley
Chile,Maipo Valley-Colchagua Valley
Chile,Malleco
Chile,Marchigue
Chile,Maule Valley
Chile,Molina
Chile,Peumo
Chile,Pirque
Chile,Puente Alto
Chile,Rapel Valley
Chile,Requinoa
Chile,Rio Claro
Chile,Sagrada Familia
Chile,San Antonio
Chile,San Clemente
Chile,Santa Cruz
Croatia,Croatia
Croatia,Dalmatian Coast
Croatia,Dingač
Croatia,Hvar
Croatia,Istria
Croatia,Kutjevo
Croatia,Middle and South Dalmatia
Croatia,North Dalmatia
Croatia,Peljesac
Croatia,Podunavlje
Cyprus,Commandaria
Cyprus,Cyprus
Cyprus,Kathikas
Cyprus,Pafos
Cyprus,Pitsilia Mountains
Czech Republic,Moravia
Egypt,Egypt
England,England
France,Alsace
France,Beaujolais
France,Bordeaux
France,Burgundy
France,Champagne
France,France Other
France,Languedoc-Roussillon
France,Loire Valley
France,Provence
France,Rhône Valley
France,Southwest France
Georgia,Georgia
Georgia,Kakheti
Germany,Ahr
Germany,Baden
Germany,Franken
Germany,Germany
Germany,Landwein Rhein
Germany,Mittelrhein
Germany,Mosel
Germany,Mosel-Saar-Ruwer
Germany,Nahe
Germany,Pfalz
Germany,Rheingau
Germany,Rheinhessen
Germany,Württemberg
Greece,Achaia
Greece,Agioritikos
Greece,Arcadia
Greece,Atalanti Valley
Greece,Attica
Greece,Cephalonia
Greece,Chalkidiki
Greece,Corinth
Greece,Crete
Greece,Cyclades
Greece,Drama
Greece,Epanomi
Greece,Florina
Greece,Goumenissa
Greece,Greece
Greece,Halkidiki
Greece,Ismarikos
Greece,Korinthia
Greece,Krania Olympus
Greece,Lakonia
Greece,Lesbos
Greece,Letrinon
Greece,Macedonia
Greece,Mantinia
Greece,Markopoulo
Greece,Monemvasia
Greece,Mount Athos
Greece,Naoussa
Greece,Nemea
Greece,Pageon
Greece,Pangeon
Greece,Patras
Greece,Peloponnese
Greece,Rapsani
Greece,Retsina
Greece,Santorini
Greece,Sterea Ellada
Greece,Thessalikos
Greece,Vin de Pays de Velvendo
Hungary,Eger
Hungary,Sopron
Hungary,Szekszárd
Hungary,Tokaj
Hungary,Tokaji
Hungary,Villány
India,Nashik
Israel,Dan
Israel,Ella Valley
Israel,Galil
Israel,Galilee
Israel,Golan Heights
Israel,Israel
Israel,Jerusalem Hills
Israel,Judean Hills
Israel,Negev
Israel,Negev Hills
Israel,Samson
Israel,Shomron
Israel,Upper Galilee
Italy,Central Italy
Italy,Italy Other
Italy,Lombardy
Italy,Northeastern Italy
Italy,Northwestern Italy
Italy,Piedmont
Italy,Sicily & Sardinia
Italy,Southern Italy
Italy,Tuscany
Italy,Veneto
Lebanon,Bekaa Valley
Lebanon,Lebanon
Luxembourg,Moselle Luxembourgeoise
Macedonia,Tikves
Mexico,San Antonio de las Minas Valley
Mexico,San Vicente
Mexico,Valle de Guadalupe
Moldova,Cahul
Moldova,Moldova
Morocco,Morocco
Morocco,Zenata
New Zealand,Awatere Valley
New Zealand,Canterbury
New Zealand,Central Otago
New Zealand,East Coast
New Zealand,Gisborne
New Zealand,Gladstone
New Zealand,Hawke's Bay
New Zealand,Kumeu
New Zealand,Marlborough
New Zealand,Martinborough
New Zealand,Nelson
New Zealand,New Zealand
New Zealand,South Island
New Zealand,Waiheke Island
New Zealand,Waipara
New Zealand,Waipara Valley
New Zealand,Wairarapa
New Zealand,Wairau Valley
New Zealand,Waitaki Valley
Peru,Ica
Portugal,Alentejano
Portugal,Alentejo
Portugal,Bairrada
Portugal,Beira Interior
Portugal,Beiras
Portugal,Colares
Portugal,Douro
Portugal,Duriense
Portugal,Dão
Portugal,Estremadura
Portugal,Lisboa
Portugal,Minho
Portugal,Palmela
Portugal,Península de Setúbal
Portugal,Portuguese Table Wine
Portugal,Ribatejano
Portugal,Tejo
Portugal,Távora-Varosa
Portugal,Vinho Espumante de Qualidade
Portugal,Vinho Verde
Romania,Dealu Mare
Romania,Dealurile Hușilor
Romania,Dealurile Munteniei
Romania,Jidvei
Romania,Murfatlar
Romania,Panciu
Romania,Recas
Romania,Romania
Romania,Sebes
Romania,Tarnave
Romania,Viile Timisului
Romania,Vânju Mare
Serbia,Župa
Slovakia,Muzla
Slovenia,Brda
Slovenia,Dolenjska
Slovenia,Goriska Brda
Slovenia,Primorska
Slovenia,Slovenia
Slovenia,Slovenska Istra
Slovenia,Vipavska Dolina
Slovenia,Štajerska
South Africa,Bot River
South Africa,Breedekloof
South Africa,Cape Agulhas
South Africa,Cape Peninsula
South Africa,Cape South Coast
South Africa,Cederberg
South Africa,Ceres Plateau
South Africa,Coastal Region
South Africa,Constantia
South Africa,Darling
South Africa,Devon Valley
South Africa,Durbanville
South Africa,Eilandia
South Africa,Elgin
South Africa,Elim
South Africa,Franschhoek
South Africa,Groenekloof
South Africa,Hemel en Aarde
South Africa,Jonkershoek Valley
South Africa,Lutzville Valley
South Africa,Northern Cape
South Africa,Olifants River
South Africa,Overberg
South Africa,Paardeberg
South Africa,Paarl
South Africa,Philadelphia
South Africa,Piekenierskloof
South Africa,Robertson
South Africa,Simonsberg-Paarl
South Africa,Simonsberg-Stellenbosch
South Africa,South Africa
South Africa,Stellenbosch
South Africa,Swartland
South Africa,Tulbagh
South Africa,Walker Bay
South Africa,Wellington
South Africa,Western Cape
Spain,Andalucia
Spain,Catalonia
Spain,Central Spain
Spain,Galicia
Spain,Levante
Spain,Northern Spain
Spain,Spain Other
Spain,Spanish Islands
Switzerland,Neuchâtel
Switzerland,Switzerland
Switzerland,Ticino
Turkey,Aegean
Turkey,Cappadocia
Turkey,Elazığ
Turkey,Elazığ-Diyarbakir
Turkey,Thrace
Turkey,Turkey
Turkey,Urla-Thrace
US,America
US,Arizona
US,California
US,Colorado
US,Connecticut
US,Idaho
US,Iowa
US,Kentucky
US,Massachusetts
US,Michigan
US,Missouri
US,Nevada
US,New Jersey
US,New Mexico
US,New York
US,North Carolina
US,Ohio
US,Oregon
US,Pennsylvania
US,Texas
US,Vermont
US,Virginia
US,Washington
US,Washington-Oregon
Ukraine,Ukraine
Uruguay,Atlantida
Uruguay,Canelones
Uruguay,Juanico
Uruguay,Montevideo
Uruguay,Progreso
Uruguay,San Jose
Uruguay,Uruguay
